running pipelined_tree w/ n=2 and ppn=1

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.58
2                       1.58
4                       1.59
8                       1.58
16                      1.59
32                      1.60
64                      1.63
128                     1.98
256                     4.28
512                     4.36
1024                    4.48
2048                    4.64
4096                    4.69
8192                    7.74
16384                   8.19
32768                  13.78
65536                  35.44
131072                 88.27
262144                166.31
524288                341.05
1048576               689.43
 
running pipelined_tree w/ n=2 and ppn=12

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.81
2                       3.67
4                       3.67
8                       3.64
16                      3.67
32                      3.72
64                      3.88
128                     4.14
256                     5.64
512                     6.14
1024                    6.50
2048                    7.18
4096                    8.37
8192                   12.99
16384                  18.61
32768                  28.15
65536                  48.34
131072                 96.94
262144                169.07
524288                330.19
1048576               657.60
 
running pipelined_tree w/ n=2 and ppn=48

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.64
2                       4.50
4                       4.47
8                       4.46
16                      4.39
32                      4.35
64                      4.65
128                     4.60
256                     6.26
512                     6.74
1024                    7.18
2048                    8.32
4096                   10.85
8192                   17.43
16384                  24.50
32768                  35.34
65536                  58.09
131072                116.22
262144                193.31
524288                376.87
1048576               757.91
 
running pipelined_tree w/ n=2 and ppn=96

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.12
2                       4.86
4                       4.87
8                       4.82
16                      4.88
32                      4.82
64                      4.80
128                     5.04
256                     6.68
512                     7.53
1024                    8.74
2048                   10.86
4096                   15.25
8192                   24.63
16384                  35.67
32768                  52.04
65536                  82.79
131072                161.05
262144                260.06
524288                494.30
1048576               970.04
 
running pipelined_tree w/ n=3 and ppn=1

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.54
2                       2.54
4                       2.54
8                       2.56
16                      2.55
32                      2.57
64                      2.56
128                     2.92
256                     4.22
512                     4.29
1024                    4.40
2048                    4.55
4096                    4.64
8192                    7.65
16384                   8.35
32768                  14.33
65536                  36.40
131072                 92.73
262144                167.08
524288                341.71
1048576               691.96
 
running pipelined_tree w/ n=3 and ppn=12

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.48
2                       4.86
4                       4.83
8                       4.83
16                      4.82
32                      4.83
64                      4.96
128                     5.44
256                     7.58
512                     8.26
1024                    8.65
2048                    9.32
4096                   10.52
8192                   17.00
16384                  24.47
32768                  33.61
65536                  56.27
131072                113.23
262144                192.23
524288                372.50
1048576               746.96
 
running pipelined_tree w/ n=3 and ppn=48

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.97
2                       5.80
4                       5.55
8                       5.61
16                      5.60
32                      5.84
64                      5.73
128                     6.30
256                     8.85
512                     9.05
1024                    9.50
2048                   10.60
4096                   13.24
8192                   21.76
16384                  29.11
32768                  41.20
65536                  66.31
131072                146.91
262144                218.11
524288                420.83
1048576               837.22
 
running pipelined_tree w/ n=3 and ppn=96

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.41
2                       6.22
4                       6.23
8                       6.25
16                      6.16
32                      6.16
64                      6.15
128                     6.56
256                     9.78
512                    10.40
1024                   11.62
2048                   13.84
4096                   18.57
8192                   30.27
16384                  41.62
32768                  58.83
65536                  92.77
131072                184.98
262144                294.82
524288                569.36
1048576              1120.47
 
running pipelined_tree w/ n=4 and ppn=1

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.22
2                       3.19
4                       3.17
8                       3.20
16                      3.20
32                      3.27
64                      3.26
128                     3.67
256                     5.21
512                     5.34
1024                    5.54
2048                    5.85
4096                    5.97
8192                   10.01
16384                  11.46
32768                  17.75
65536                  41.06
131072                 91.35
262144                177.93
524288                365.60
1048576               727.50
 
running pipelined_tree w/ n=4 and ppn=12

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.64
2                       6.40
4                       6.36
8                       6.14
16                      6.06
32                      6.11
64                      6.26
128                     7.03
256                     9.06
512                     9.50
1024                    9.92
2048                   10.71
4096                   12.10
8192                   19.27
16384                  25.77
32768                  35.98
65536                  58.75
131072                120.96
262144                198.50
524288                385.18
1048576               762.98
 
running pipelined_tree w/ n=4 and ppn=48

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       7.62
2                       6.84
4                       6.87
8                       6.81
16                      6.71
32                      7.10
64                      6.93
128                     7.55
256                     9.74
512                    10.26
1024                   10.72
2048                   12.05
4096                   15.12
8192                   24.50
16384                  31.99
32768                  44.40
65536                  70.97
131072                182.70
262144                238.28
524288                452.01
1048576               885.36
 
running pipelined_tree w/ n=4 and ppn=96

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       7.99
2                       7.65
4                       7.53
8                       7.59
16                      7.52
32                      7.44
64                      7.52
128                     8.02
256                    10.69
512                    11.57
1024                   12.81
2048                   15.37
4096                   20.44
8192                   33.29
16384                  46.02
32768                  62.48
65536                  98.20
131072                214.91
262144                315.53
524288                606.14
1048576              1197.38
 
running scatter_recursive_doubling_allgather w/ n=2 and ppn=1

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.45
2                       5.56
4                       5.52
8                       5.46
16                      5.47
32                      5.48
64                      5.52
128                     5.48
256                     6.44
512                     8.46
1024                    8.62
2048                    8.76
4096                    9.07
8192                    9.10
16384                  14.91
32768                  15.65
65536                  17.12
131072                 20.22
262144                 25.97
524288                 37.37
1048576                59.75
 
running scatter_recursive_doubling_allgather w/ n=2 and ppn=12

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.64
2                      11.15
4                      11.08
8                      11.72
16                     14.92
32                     14.80
64                     15.06
128                    15.15
256                    15.58
512                    17.48
1024                   24.80
2048                   27.23
4096                   29.61
8192                   32.44
16384                  39.70
32768                  50.97
65536                  66.54
131072                 83.10
262144                139.50
524288                231.59
1048576               393.81
 
running scatter_recursive_doubling_allgather w/ n=2 and ppn=48

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      15.71
2                      14.43
4                      14.14
8                      14.24
16                     14.65
32                     17.19
64                     18.85
128                    19.02
256                    20.04
512                    22.06
1024                   28.57
2048                   31.75
4096                   34.38
8192                   37.70
16384                  47.08
32768                  61.20
65536                  81.88
131072                107.02
262144                189.45
524288                310.84
1048576               555.75
 
running scatter_recursive_doubling_allgather w/ n=2 and ppn=96

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.77
2                      17.53
4                      16.95
8                      16.93
16                     17.11
32                     17.54
64                     20.20
128                    23.47
256                    25.20
512                    26.24
